wall_time_ns,monotonic_time_ns,interface,rx_bytes,rx_packets,rx_errors,rx_dropped,rx_missed_errors,tx_bytes,tx_packets,tx_errors,tx_dropped,collisions
1786699614910537946,4471836693246,enp3s0,96218565259,73791718,0,0,0,97507218,601682,0,0,0
1786699615911232687,4472837388188,enp3s0,96260117251,73823503,0,0,0,97538918,601874,0,0,0
1786699616912006237,4473838161834,enp3s0,96303532033,73856705,0,0,0,97563994,602000,0,0,0
1786699617912832986,4474838988438,enp3s0,96344683099,73888392,0,0,0,97595256,602163,0,0,0
1786699618913643354,4475839799014,enp3s0,96386758677,73920596,0,0,0,97624364,602327,0,0,0
1786699619914482540,4476840638137,enp3s0,96427959535,73952136,0,0,0,97649276,602451,0,0,0
1786699620915215011,4477841370272,enp3s0,96468728555,73983439,0,0,0,97671574,602548,0,0,0
1786699621916003870,4478842159193,enp3s0,96511665403,74016207,0,0,0,97692752,602641,0,0,0
1786699622916766742,4479842922241,enp3s0,96555622673,74049685,0,0,0,97713930,602734,0,0,0
1786699623917488173,4480843643505,enp3s0,96596817337,74081247,0,0,0,97748678,602955,0,0,0
1786699624918301075,4481844456940,enp3s0,96638550241,74113243,0,0,0,97773436,603078,0,0,0
1786699625919259315,4482845414646,enp3s0,96680008561,74145180,0,0,0,97805076,603245,0,0,0
1786699626919974467,4483846129722,enp3s0,96722549707,74177743,0,0,0,97834910,603416,0,0,0
1786699627920710462,4484846865938,enp3s0,96763860573,74209313,0,0,0,97859186,603534,0,0,0
1786699628921539484,4485847695545,enp3s0,96809021583,74243769,0,0,0,97881272,603629,0,0,0
1786699629922540266,4486848696166,enp3s0,96850505183,74275459,0,0,0,97902450,603722,0,0,0
1786699630923620307,4487849775600,enp3s0,96892097309,74307233,0,0,0,97924548,603813,0,0,0
1786699631924496420,4488850652392,enp3s0,96933413567,74338840,0,0,0,97955890,604013,0,0,0
1786699632925410393,4489851565512,enp3s0,96976382125,74371732,0,0,0,97982264,604141,0,0,0
1786699633926122042,4490852277138,enp3s0,97018317265,74404050,0,0,0,98014684,604315,0,0,0
1786699634926829194,4491852985524,enp3s0,97062282901,74437533,0,0,0,98043042,604472,0,0,0
1786699635927615951,4492853770991,enp3s0,97103740651,74469241,0,0,0,98067318,604590,0,0,0
1786699636928390647,4493854546093,enp3s0,97147689229,74502823,0,0,0,98089298,604684,0,0,0
1786699637929177373,4494855332456,enp3s0,97189212137,74534549,0,0,0,98110264,604775,0,0,0
1786699638929953938,4495856109163,enp3s0,97231844123,74567061,0,0,0,98130840,604873,0,0,0
1786699639930762287,4496856919104,enp3s0,97273535391,74599023,0,0,0,98163254,605072,0,0,0
1786699640931521863,4497857676946,enp3s0,97315721789,74631294,0,0,0,98188534,605200,0,0,0
1786699641932302679,4498858458068,enp3s0,97357141313,74663198,0,0,0,98219690,605362,0,0,0
1786699642932989639,4499859145057,enp3s0,97398477599,74694910,0,0,0,98250310,605540,0,0,0
1786699643933775972,4500859931588,enp3s0,97441325251,74727652,0,0,0,98275372,605665,0,0,0
1786699644934585938,4501860741278,enp3s0,97484047503,74760355,0,0,0,98297246,605758,0,0,0
1786699645935387109,4502861542485,enp3s0,97524591677,74791402,0,0,0,98318636,605853,0,0,0
1786699646936178937,4503862334230,enp3s0,97566738791,74823597,0,0,0,98340026,605948,0,0,0
1786699647936982172,4504863137698,enp3s0,97609146675,74856046,0,0,0,98372802,606150,0,0,0
1786699648937793838,4505863950383,enp3s0,97653293817,74889823,0,0,0,98398006,606279,0,0,0
1786699649938585908,4506864741184,enp3s0,97694385959,74921496,0,0,0,98432140,606458,0,0,0
1786699650939424604,4507865579556,enp3s0,97736781131,74956826,0,0,0,99259504,609434,0,0,0
1786699651940241243,4508866396725,enp3s0,97778718187,74988974,0,0,0,99286356,609566,0,0,0
1786699652941022214,4509867177745,enp3s0,97819830215,75020589,0,0,0,99310064,609666,0,0,0
1786699653941858689,4510868014272,enp3s0,97861787391,75052712,0,0,0,99332652,609762,0,0,0
1786699654942636061,4511868791633,enp3s0,97903230957,75085464,0,0,0,99483762,610763,0,0,0
1786699655943359963,4512869515265,enp3s0,97945711333,75117928,0,0,0,99520142,610999,0,0,0
1786699656944143943,4513870299245,enp3s0,97986254295,75149090,0,0,0,99546226,611135,0,0,0
1786699657944951104,4514871107670,enp3s0,98027049177,75180574,0,0,0,99580840,611330,0,0,0
1786699658945663329,4515871818584,enp3s0,98069129157,75212903,0,0,0,99612946,611519,0,0,0
1786699659946395144,4516872550444,enp3s0,98109860981,75244101,0,0,0,99638600,611650,0,0,0
1786699660947201244,4517873356470,enp3s0,98151636795,75276139,0,0,0,99661110,611749,0,0,0
1786699661947866798,4518874022153,enp3s0,98191918213,75307011,0,0,0,99682712,611846,0,0,0
1786699662948603275,4519874759117,enp3s0,98233953873,75339090,0,0,0,99704730,611947,0,0,0
1786699663949485140,4520875640651,enp3s0,98274459745,75370154,0,0,0,99741118,612183,0,0,0
1786699664950426791,4521876582482,enp3s0,98315901373,75401972,0,0,0,99769506,612323,0,0,0
1786699665951350608,4522877506062,enp3s0,98356974017,75433643,0,0,0,99801378,612509,0,0,0
1786699666952163588,4523878318921,enp3s0,98399977733,75466638,0,0,0,99832094,612696,0,0,0
1786699667952934831,4524879090081,enp3s0,98440743541,75497854,0,0,0,99857642,612826,0,0,0
1786699668953628014,4525879783002,enp3s0,98483201957,75530395,0,0,0,99879940,612923,0,0,0
1786699669954396298,4526880551895,enp3s0,98524211417,75561792,0,0,0,99901428,613019,0,0,0
1786699670955149023,4527881304115,enp3s0,98565589833,75593475,0,0,0,99923878,613124,0,0,0
1786699671955944964,4528882100244,enp3s0,98607514565,75625572,0,0,0,99959842,613356,0,0,0
1786699672956708076,4529882863456,enp3s0,98649090279,75657501,0,0,0,99988230,613496,0,0,0
1786699673957479253,4530883634583,enp3s0,98691411895,75690094,0,0,0,100020268,613684,0,0,0
1786699674958168868,4531884324235,enp3s0,98733774803,75722636,0,0,0,100052374,613873,0,0,0
1786699675959001376,4532885156891,enp3s0,98774764249,75754023,0,0,0,100077922,614003,0,0,0
1786699676959813635,4533885968935,enp3s0,98815753315,75785508,0,0,0,100100212,614100,0,0,0
1786699677960626558,4534886781922,enp3s0,98856732619,75816872,0,0,0,100122132,614200,0,0,0
1786699678961404381,4535887559571,enp3s0,98898238421,75848601,0,0,0,100144158,614301,0,0,0
1786699679962174880,4536888330357,enp3s0,98939034369,75879871,0,0,0,100180016,614532,0,0,0
1786699680962981365,4537889136804,enp3s0,98981331909,75912313,0,0,0,100208998,614678,0,0,0
1786699681963817180,4538889973839,enp3s0,99022165943,75943805,0,0,0,100240874,614864,0,0,0
1786699682964521711,4539890677620,enp3s0,99063073657,75975282,0,0,0,100273512,615059,0,0,0
1786699683965328982,4540891485950,enp3s0,99104704603,76007131,0,0,0,100299272,615191,0,0,0
1786699684966142766,4541892298122,enp3s0,99146068477,76038885,0,0,0,100321562,615288,0,0,0
1786699685966843728,4542892998807,enp3s0,99188162591,76071037,0,0,0,100341926,615384,0,0,0
1786699686967532681,4543893687826,enp3s0,99229912183,76102939,0,0,0,100362926,615486,0,0,0
1786699687968318822,4544894474518,enp3s0,99270334379,76134071,0,0,0,100408016,615801,0,0,0
1786699688969344669,4545895500313,enp3s0,99312291087,76166276,0,0,0,100435980,615937,0,0,0
1786699689970333803,4546896489231,enp3s0,99352935109,76197634,0,0,0,100470044,616133,0,0,0
1786699690971292464,4547897448215,enp3s0,99394720819,76229737,0,0,0,100499840,616311,0,0,0
1786699691972295311,4548898450901,enp3s0,99435762909,76261165,0,0,0,100526512,616441,0,0,0
1786699692973306857,4549899462361,enp3s0,99477813887,76293406,0,0,0,100547254,616534,0,0,0
1786699693974412804,4550900567908,enp3s0,99518713475,76324724,0,0,0,100569836,616630,0,0,0
1786699694975126020,4551901281349,enp3s0,99560938877,76356965,0,0,0,100584274,616731,0,0,0
1786699695975923362,4552902078986,enp3s0,99601492599,76388038,0,0,0,100609822,616967,0,0,0
1786699696976657286,4553902812763,enp3s0,99643403019,76420198,0,0,0,100627052,617104,0,0,0
1786699697977487213,4554903642456,enp3s0,99685437397,76452563,0,0,0,100650282,617307,0,0,0
